id,length_id,form_id,style_image_id,style_body,style_name,created_at,updated_at
8,7,5,e690982ea6c3f8ae51a09e40e0a4fb717f44cd5b54394b99a819dc558b5c,"トップを膨らませ、髪の長さで縦長効果!!
顔まわりレイヤーを入れて頬をカバー!! 
※ワイドな前髪は横幅が強調されるので要注意!!","#ゆるふわロング
＃ヘルシーレイヤーロング
＃ゆるふわパーマ","2020-03-26 09:10:12.908539","2020-04-06 06:14:52.935546"
9,6,5,28b3e790877447f23548465a98225d44185c3ef8ffca3062adf10ed16441,"前髪は軽めのシースルーバングで縦長効果!! 
顔まわりのサイドバングで頬をシャープに!!
 ※重いバングは横幅が強調されてしまうので要注意!!","＃外はねボブ
＃ゆるふわセミディ
＃ネオウルフボブ
＃大人可愛いボブ
＃のばしかけボブ","2020-03-26 09:18:52.289762","2020-04-06 06:15:04.929564"
10,4,5,1145b49bc600725577eb3c59c9e36359fb622e62aa36df440fa9ddde23dd,"かきあげバングで縦長効果!!
長めのバングで頬をシャープに!! 
前下がりはよりGOOD　
※重いぱっつん前髪はNG","＃前下がりショートボブ
＃小顔マッシュショート
＃ハンサムショート
＃マニッシュショート","2020-03-26 09:24:18.116775","2020-04-06 06:15:26.599506"
11,7,6,bb6046d25f84a14defd539e5a136acecf53ac45220798375f33ddc6e7df8,"前髪を作って横長ラインをプラス!! 
ゆるふわパーマでサイドにボリュームを!! 
顔まわりのレイヤーでサイドに動きをプラス!! 
※センターパートは縦を強調するので要注意!!","＃ゆるふわデジタルパーマ
＃顔まわりレイヤー
＃アシンメトリーバング","2020-03-26 09:28:59.193760","2020-04-06 06:15:40.516497"
12,6,6,b00aed6563b30664bedfdb91e3b9721cbd751452981abc7a0d37083898e9,"ワイドバングで横長ラインをプラス!! 
表面に軽いレイヤーをプラスして顔まわりに動きをプラス!!
 ※長めな前髪はフェザーバングでサイドのボリュームに!!","#フェザーバング
＃くびれボブ
＃ネオウルフ
＃ウルフボブ","2020-03-26 09:36:18.835997","2020-04-06 06:16:13.414266"
13,4,6,465cdf8b7fd02ae9501f44b6d19a2e48d00e984b59069ac7b30aba509ee3,"レイヤーの入った丸みショートでふっくらシルエットに!! 
重めバングで横長ラインをプラス!! 
襟足長めでくびれを出すとよりGOOD","＃マニッシュショート
＃アンニュイショート
＃ショートレイヤー
＃エアリーショートボブ","2020-03-26 09:42:08.027349","2020-04-06 06:16:29.290895"
14,7,8,2002945de8c1ce7a678024ff6cefb3e721351fe1140f0fc0f1d7a2a82bfc,"髪の長さで縦長効果!! 
ウエイトポイントをエラより上目のレイヤーで動きをプラス!! 
※切りっぱなしスタイルは硬さが出るため丸のシルエットに!!","#ゆるふわデジタルパーマ
＃フェザーバング
＃ヘルシーレイヤーロング","2020-03-26 09:54:05.881249","2020-04-06 06:16:46.821317"
15,6,8,b136a39ce411fda0914027e4ac0e2c41da58ef2ff17595633c48ffe7175f,"長めバングで縦長効果!! 
イングラボブで自然に内巻きボブでエラをカバー!! 
※切りっぱなしボブはNG!! ワンレングスならGOOD","＃ワンレンボブ
＃イングラボブ
＃マッシュウルフ
＃ネオウルフ","2020-03-26 10:02:05.161778","2020-04-06 06:17:01.531344"
16,4,8,d51a66d068325ca7ff21394bbdae7a620e1c8dca400cd2638ffe652c6a8b,"長めバングで縦長効果!! 顔まわりで動きを出してウエイトポイントをエラより上に!! 前下がりシルエットで小顔効果!!","#前下がりショート
＃マニッシュハンサムショート
＃ショートボブ","2020-03-26 10:07:46.102112","2020-04-11 07:11:31.700169"
17,7,9,5c8afab4e4a4597a52712c6d9926b603c9c7102e5891daae48d088da6726,"緩めの前髪で柔らかい印象に!! 顔まわりにたっぷりレイヤーを入れて丸みをプラス!! ※あまり軽すぎると鋭さが出て余計シャープになってしまうので要注意!!","＃ゆるふわパーマ
＃ゆるふわウェーブ
＃くびれレイヤー","2020-03-26 10:13:39.170145","2020-04-11 07:11:48.841811"
18,6,9,5f3e91a2c9a462b5131494812abfbf43f9ffb6204bd1aa0f9148f515d79b,"広めバングで優しい印象に!! 
あご周りは軽めのレイヤーで動きをプラス!!","#ゆるふわボブ
＃エアリーボブ
＃くびれミディアム
＃ウルフレイヤー","2020-03-26 10:16:40.391867","2020-04-06 06:17:43.967095"
19,4,9,9fec3df6703f6fcd33453bf832d370113192264f7894824c7d4f2ee0dcbb,"広めバングで優しい印象に!! 外ハネセットであご周りにボリュームアップを!! レイヤーを入れて動きやすさUP","＃ゆるふわショートボブ
＃くびれショートボブ
＃エアリーショートボブ","2020-03-26 10:21:37.319426","2020-04-11 07:12:03.926018"
